product_id,product_name,unit,first_sale,last_sale,positive_sales_days,total_quantity,median_positive_quantity,history_days,active_ratio,days_since_last_sale,current_status,segment
10002874,LEZITA PILIC IZGARA KANAT KG,KG,2023-01-01,2026-07-21,1124,6835.422,4.893000000000001,1298,0.8659476117103235,0,active,continuous
10002879,$MUDURNU GURME FIRINLIK PILIC KG,KG,2023-12-31,2023-12-31,1,0.204,0.204,1,1.0,933,possibly_inactive,new_short_history
10002884,$BANVIT PILIC LOKUM SIS KG 195,KG,2025-07-10,2025-07-10,1,0.958,0.958,1,1.0,376,possibly_inactive,new_short_history
10002886,BANVIT P.TAB.BAGET KG,KG,2023-01-01,2026-07-21,719,3514.362,3.56,1298,0.5539291217257319,0,active,continuous
10002890,BANVIT P.TAB.IZGARA KANAT KG SOSLU,KG,2025-03-28,2025-09-11,22,76.616,2.317,168,0.13095238095238096,313,possibly_inactive,possibly_inactive
10002893,BANVIT P.TAB.TASLIK KG,KG,2023-01-02,2026-07-01,412,813.883,1.661,1277,0.3226311667971809,20,active,intermittent
10002906,LEZITA PIL.SCHNITZEL 270 G PAKET,ADT,2023-01-01,2026-07-20,176,239.0,1.0,1297,0.13569776407093292,1,active,intermittent
10002914,BANVIT P.DONER 200 G,ADT,2023-03-17,2026-07-21,875,3248.0,3.0,1223,0.7154538021259199,0,active,continuous
10002930,HAZIR YEMEK CEVIRME PILIC ADET (SADE),ADT,2023-01-07,2023-06-25,27,71.0,2.0,170,0.1588235294117647,1122,possibly_inactive,possibly_inactive
10002936,HAZIR YEMEK CEVIRME PILIC1/2 ADET (SADE),ADT,2023-03-12,2023-06-24,3,7.0,2.0,105,0.02857142857142857,1123,possibly_inactive,possibly_inactive
10002937,$LEZITA PIL.CORDON BLUE 300 G,ADT,2023-01-01,2025-12-14,524,959.0,1.0,1079,0.4856348470806302,219,possibly_inactive,possibly_inactive
10002958,LEZITA PIL.NUGGET 300 G PAKET,ADT,2023-01-01,2026-07-17,480,821.0,1.0,1294,0.37094281298299847,4,active,intermittent
10002970,BANVIT P.BURGER 300 G,ADT,2023-03-18,2026-07-21,619,1967.0,2.0,1222,0.5065466448445172,0,active,continuous
10002975,$LEZITA PIL.BURGER 360 G,ADT,2023-01-01,2026-01-19,268,422.0,1.0,1115,0.24035874439461882,183,possibly_inactive,possibly_inactive
10002979,$LEZITA PIL.DONER PILIC YAPRAK 500 G,ADT,2023-01-02,2023-09-17,91,194.0,2.0,259,0.35135135135135137,1038,possibly_inactive,possibly_inactive
10637675,MARET PASTIRMA CEMENSIZ 100 G,ADT,2023-06-21,2026-04-04,101,127.0,1.0,1019,0.09911678115799803,108,possibly_inactive,possibly_inactive
10659768,$ERSAN PASTIRMA DILIMLI KONTRAFILE KG,KG,2024-06-25,2024-06-25,1,0.502,0.502,1,1.0,756,possibly_inactive,new_short_history
10679002,PINAR SUCUK DOYUM 225 G HINDI,ADT,2023-01-02,2026-07-04,254,322.0,1.0,1280,0.1984375,17,active,intermittent
10694980,LEZITA FARMELIA POSET PILIC KG,KG,2023-01-01,2026-07-21,946,4783.84,3.8179999999999996,1298,0.7288135593220338,0,active,continuous
10697674,NAMET SALAM DANA SADE 150 G,ADT,2023-02-17,2023-06-11,6,6.0,1.0,115,0.05217391304347826,1136,possibly_inactive,possibly_inactive
10708204,$TORKU SUCUK DANA KANGAL 180 G,ADT,2023-01-01,2024-08-02,102,132.0,1.0,580,0.17586206896551723,718,possibly_inactive,possibly_inactive
10728085,YILBASI HINDISI KG,KG,2023-01-01,2026-01-06,10,430.404,35.971000000000004,1102,0.009074410163339383,196,possibly_inactive,possibly_inactive
10843418,$KESK.PIL. KALCALI BUT (DONUK) KG.,KG,2023-10-21,2023-10-21,1,0.204,0.204,1,1.0,1004,possibly_inactive,new_short_history
10850119,$PINAR JAMBON DANA 50 G,ADT,2023-06-30,2024-08-11,86,139.0,1.0,409,0.21026894865525672,709,possibly_inactive,possibly_inactive
10851455,A.IPEK PASTIRMA SECME KG,KG,2023-01-09,2024-01-10,15,3.44,0.194,367,0.04087193460490463,923,possibly_inactive,possibly_inactive
10860137,EGE CIG.DANA CIGER KUSBASI 500 G MAP,ADT,2025-03-07,2026-07-20,389,1227.0,3.0,501,0.7764471057884231,1,active,continuous
10860138,EGE CIG.DANA BOBREK KUSBASI 500 G MAP,ADT,2025-03-09,2026-07-19,123,164.0,1.0,498,0.2469879518072289,2,active,intermittent
10860139,EGE CIG.DANA YUREK KUSBASI 500 G MAP,ADT,2025-03-08,2026-07-06,113,158.0,1.0,486,0.23251028806584362,15,active,intermittent
10860202,EGE CIG.DANA KUYRUK 500G,ADT,2025-03-08,2026-07-08,52,77.0,1.0,488,0.10655737704918032,13,active,intermittent
10860204,EGE CIG.KUZU ISKEMBE 500 G MAP,ADT,2025-03-08,2026-06-04,58,75.0,1.0,454,0.1277533039647577,47,active,intermittent
10860205,EGE CIG.KUZU AYAK 4 LU MAP,ADT,2025-03-08,2026-07-13,94,123.0,1.0,493,0.19066937119675456,8,active,intermittent
10860208,EGE CIG.KUZU KELLE ADT MAP,ADT,2025-03-08,2026-07-08,43,51.0,1.0,488,0.08811475409836066,13,active,sparse
10860209,EGE CIG.DANA PISMIS DIL 200 G MAP,ADT,2025-03-09,2026-06-24,29,33.0,1.0,473,0.0613107822410148,27,active,sparse
10860211,EGE CIG.DANA DIL SOGUS 150 G MAP,ADT,2025-03-16,2026-06-14,20,22.0,1.0,456,0.043859649122807015,37,active,sparse
10860212,EGE CIG.KUZU KELLE SOGUS 150G,ADT,2025-03-09,2026-07-17,40,47.0,1.0,496,0.08064516129032258,4,active,sparse
10878444,$MARET SOSIS DANA AFIYETLE 200 G,ADT,2023-01-02,2023-01-14,5,8.0,2.0,13,0.38461538461538464,1284,possibly_inactive,new_short_history
10881315,NAMET 7/24 SOSIS HINDI 140 G,ADT,2023-01-07,2026-07-20,358,566.0,1.0,1291,0.2773044151820294,1,active,intermittent
10884862,PINAR SALAM DOYUM (HINDI) 700 G,ADT,2023-01-01,2026-07-17,728,1418.0,1.0,1294,0.5625965996908809,4,active,continuous
10907753,$LEZITA GEZEN TAVUK KUTULU DONUK KG,KG,2023-01-02,2023-12-16,120,288.856,1.74,349,0.3438395415472779,948,possibly_inactive,possibly_inactive
10963655,NAMET DANA DONER 200 G,ADT,2023-10-11,2026-06-27,391,3808.0,5.0,991,0.39455095862764883,24,active,intermittent
10999900,BANVIT P.NUGGET 300 G,ADT,2023-03-18,2026-07-19,640,1224.0,1.0,1220,0.5245901639344263,2,active,continuous
10999901,BANVIT P.SCHNITZEL 300 G,ADT,2023-03-18,2026-07-17,480,725.0,1.0,1218,0.39408866995073893,4,active,intermittent
11000288,BANVIT P.ACILI KEBAP 400 G,ADT,2023-03-18,2026-07-10,322,492.0,1.0,1211,0.2658959537572254,11,active,intermittent
11009864,LEZITA P.SUCUK BATON 450 G TOSTLUK,ADT,2023-01-01,2024-01-21,109,138.0,1.0,386,0.2823834196891192,912,possibly_inactive,possibly_inactive
11020546,ERPILIC PILIC KALCALI BUT KG,KG,2025-05-09,2025-05-11,2,0.404,0.202,3,0.6666666666666666,436,possibly_inactive,new_short_history
11020893,ERPILIC PILIC IZGARA KANAT KG,KG,2026-02-01,2026-02-01,1,0.308,0.308,1,1.0,170,possibly_inactive,new_short_history
11020894,ERPILIC PILIC CIGER KG,KG,2024-09-28,2024-09-28,1,0.166,0.166,1,1.0,661,possibly_inactive,new_short_history
11020897,ERPILIC P.TAB.PIRZOLA KG SOSLU,KG,2023-04-07,2023-04-07,1,0.152,0.152,1,1.0,1201,possibly_inactive,new_short_history
11053574,EGE CIG.DANA PISMIS ISKEMBE 200 G MAP,ADT,2025-03-09,2026-07-13,89,135.0,1.0,492,0.18089430894308944,8,active,intermittent
11105022,$BANVIT P.SUCUK DILIMLI 500 G,ADT,2023-03-17,2024-04-08,172,244.0,1.0,389,0.442159383033419,834,possibly_inactive,possibly_inactive
11105024,$BANVİT P.SALAM DILIMLI 500 G,ADT,2023-04-22,2023-08-03,40,51.0,1.0,104,0.38461538461538464,1083,possibly_inactive,possibly_inactive
11106646,MARET KAVURMA 100 G,ADT,2023-06-03,2026-07-21,121,317.0,2.0,1145,0.1056768558951965,0,active,intermittent
11106648,$MARET SUCUK DANA KANGAL 300 G,ADT,2023-06-05,2025-02-17,43,52.0,1.0,624,0.06891025641025642,519,possibly_inactive,possibly_inactive
11135043,BANVIT P.SCHNITZEL 700 G AV.PKT,ADT,2023-03-18,2026-07-21,912,2058.0,2.0,1222,0.7463175122749591,0,active,continuous
11135044,BANVIT P.NUGGET 700 G AV.PKT,ADT,2023-03-17,2026-07-19,875,2183.0,2.0,1221,0.7166257166257166,2,active,continuous
11143467,$TORKU SUCUK KASAP 350 G,ADT,2023-08-02,2024-03-15,45,73.0,1.0,227,0.19823788546255505,858,possibly_inactive,possibly_inactive
11152658,$POLONEZ SOSIS HINDI 300 G,ADT,2023-01-06,2023-12-30,63,85.0,1.0,359,0.17548746518105848,934,possibly_inactive,possibly_inactive
11156373,$KOFTE HAMBURGER KG,KG,2023-01-02,2026-07-19,189,210.922,1.054,1295,0.14594594594594595,2,active,intermittent
11188014,$HASTAVUK PILIC KELEBEK SOSLU KG,KG,2025-04-26,2026-01-30,2,0.73,0.365,280,0.007142857142857143,172,possibly_inactive,possibly_inactive
11215482,ERSAN DONER DANA 200 G,ADT,2023-01-01,2026-07-20,852,3422.0,3.0,1297,0.6569005397070162,1,active,continuous
11225999,$OVUN DANA YUREK 400 G MAP DNK,ADT,2023-03-10,2023-03-10,1,1.0,1.0,1,1.0,1229,possibly_inactive,new_short_history
11228109,$OVUN KUZU AYAK 4 LU PAKET ADET DNK,ADT,2023-03-20,2023-03-23,2,2.0,1.0,4,0.5,1216,possibly_inactive,new_short_history
11228115,$OVUN KUZU YUREK 300 G MAP DNK,ADT,2023-03-17,2023-03-19,2,2.0,1.0,3,0.6666666666666666,1220,possibly_inactive,new_short_history
11228133,OVUN DANA CIGER 300 G MAP DNK,ADT,2023-03-10,2023-03-10,1,1.0,1.0,1,1.0,1229,possibly_inactive,new_short_history
11228134,$OVUN DANA BOBREK 400 G MAP DNK,ADT,2023-03-16,2024-11-16,2,2.0,1.0,612,0.0032679738562091504,612,possibly_inactive,possibly_inactive
11228135,$OVUN KELLE PACA PISMIS 300 G MAP DNK,ADT,2023-03-10,2023-03-21,3,3.0,1.0,12,0.25,1218,possibly_inactive,new_short_history
11228137,$OVUN ET KUZU CIGER 200G DONUK,ADT,2023-03-16,2023-03-16,1,1.0,1.0,1,1.0,1223,possibly_inactive,new_short_history
11232411,CUMHURIYET SUCUK FERMENTE 300 G,ADT,2023-01-01,2026-07-21,698,1175.0,1.0,1298,0.5377503852080123,0,active,continuous
11236840,DANA KABURGA OZEL DILIM KEMIKLI KG,KG,2023-02-07,2026-07-01,96,104.738,0.896,1241,0.07735697018533441,20,active,sparse
11264496,$POLONEZ SOSIS HINDI IZGARA 500 G,ADT,2023-01-01,2024-12-17,114,146.0,1.0,717,0.1589958158995816,581,possibly_inactive,possibly_inactive
11342744,PINAR SALAM HINDI 60 G,ADT,2023-01-02,2026-07-18,1057,5082.0,4.0,1294,0.8168469860896446,3,active,continuous
11345630,$PINAR SALAM DANA 60 G BUYUK DILIM,ADT,2023-01-01,2024-10-09,446,1189.0,2.0,648,0.6882716049382716,650,possibly_inactive,possibly_inactive
11345633,BOLEZ P.TAB.BAGET KG,KG,2023-01-01,2026-07-14,829,2020.12,1.894,1291,0.6421378776142526,7,active,continuous
11345634,BOLEZ P.TAB.PIRZOLA KG,KG,2023-01-02,2026-07-19,847,2157.029,1.84,1295,0.654054054054054,2,active,continuous
11345635,BOLEZ P.TAB.KALCALI BUT KG,KG,2023-01-02,2026-07-21,629,1334.312,1.63,1297,0.48496530454895914,0,active,intermittent
11345636,BOLEZ P.TAB.FILETO KG,KG,2023-01-01,2026-07-19,744,2649.049,2.933,1296,0.5740740740740741,2,active,continuous
11345637,BOLEZ P.TAB.BOLUNMUS KANAT KG,KG,2023-01-01,2026-07-19,701,2547.118,2.834,1296,0.5408950617283951,2,active,continuous
11345638,BOLEZ P.TAB.IZGARA TAVA KG,KG,2023-01-01,2026-07-19,764,2251.384,2.462,1296,0.5895061728395061,2,active,continuous
11345972,BOLEZ P.KOYLUM POSET BUTUN KG,KG,2023-01-02,2026-07-21,883,5921.957,5.528,1297,0.6808018504240555,0,active,continuous
11375427,A.IPEK SUCUK DANA FERMENTE 280 G,ADT,2026-05-24,2026-07-19,32,45.0,1.0,57,0.5614035087719298,2,active,continuous
11376654,BANVIT P.SOSIS JUMBO 330 G,ADT,2023-03-18,2026-07-20,883,2416.0,2.0,1221,0.7231777231777232,1,active,continuous
11387730,$PINAR SOSIS HINDI AC BITIR 130 G,ADT,2023-01-02,2024-07-14,315,785.0,2.0,560,0.5625,737,possibly_inactive,possibly_inactive
11393509,$POLONEZ SOSIS DANA BARBEKU 500 G,ADT,2023-01-01,2024-10-13,89,106.0,1.0,652,0.13650306748466257,646,possibly_inactive,possibly_inactive
11393510,$POLONEZ PASTIRMA DILIMLI CEMENSIZ KG,KG,2023-01-01,2024-08-06,107,112.294,0.9,584,0.1832191780821918,714,possibly_inactive,possibly_inactive
11402330,POLONEZ FUME KABURGA ETI 200 G PKT,ADT,2023-01-06,2026-07-04,206,279.0,1.0,1276,0.1614420062695925,17,active,intermittent
11406716,$YAYLATURK JAMBON HINDI KG,KG,2024-02-01,2024-02-01,1,0.208,0.208,1,1.0,901,possibly_inactive,new_short_history
11414298,DANA DRY AGED T-BONE STEAK KG,KG,2023-01-19,2026-07-15,161,117.932,0.56,1274,0.12637362637362637,6,active,intermittent
11414299,DANA DRY AGED DALLAS STEAK KG,KG,2023-01-09,2026-07-15,329,308.047,0.672,1284,0.2562305295950156,6,active,intermittent
11414301,DANA DRY AGED NEWYORK STEAK KG,KG,2023-01-07,2026-06-13,66,39.414,0.482,1254,0.05263157894736842,38,active,sparse
11414303,DANA DRY AGED PIRZOLA KG,KG,2023-01-06,2026-06-21,14,14.586,0.981,1263,0.011084718923198733,30,active,sparse
11507973,$POLONEZ SUCUK DANA 200 G,ADT,2023-01-02,2024-10-22,193,504.0,1.0,660,0.2924242424242424,637,possibly_inactive,possibly_inactive
11507974,$POLONEZ SUCUK DANA 200 G ACILI,ADT,2023-01-05,2023-05-25,11,11.0,1.0,141,0.07801418439716312,1153,possibly_inactive,possibly_inactive
11525698,MARET SUCUK BONCUK FERMENTE 220 G,ADT,2023-01-19,2026-07-21,146,180.0,1.0,1280,0.1140625,0,active,intermittent
