product_id,product_name,unit,first_sale,last_sale,active_sales_days,total_quantity,mean_positive_quantity,median_positive_quantity,max_positive_quantity,history_days,active_ratio,days_since_last_sale,segment
11564968,$LEZITA PILIC IZGARA KANAT SOSLU KG,KG,2023-06-19,2023-11-22,43,109.328,2.542511627906977,1.886,6.5,157,0.27388535031847133,972,possibly_inactive
11564995,$LEZITA PILIC IZGARA TAVA SOSLU KG,KG,2023-06-20,2023-11-18,25,65.196,2.60784,2.212,7.518,152,0.16447368421052633,976,possibly_inactive
11572557,$TORKU SALAM DANA MACAR 250 G,ADT,2023-01-05,2023-03-03,20,26.0,1.3,1.0,4.0,58,0.3448275862068966,1236,possibly_inactive
11574384,$ERSAN KAVURMA 150 G,ADT,2023-01-21,2023-12-07,23,34.0,1.4782608695652173,1.0,3.0,321,0.07165109034267912,957,possibly_inactive
11583115,LEZITA PIL.NUGGET 700 G,ADT,2023-01-01,2026-07-21,834,1805.0,2.1642685851318944,2.0,10.0,1298,0.6425269645608629,0,continuous
11607507,A.IPEK SUCUK KANGAL 350 G FERMENTE,ADT,2026-01-31,2026-07-06,25,32.0,1.28,1.0,3.0,157,0.1592356687898089,15,intermittent
11614809,$ERSAN FUME ET BLOK KG,KG,2023-01-02,2024-12-09,20,7.734,0.3867,0.195,2.088,708,0.02824858757062147,589,possibly_inactive
11615689,$POLONEZ FIT YASAM DANA FUME ET 100 G,ADT,2023-01-07,2023-09-12,76,137.0,1.8026315789473684,2.0,7.0,249,0.30522088353413657,1043,possibly_inactive
11644334,KOFTE IZGARA INEGOL KG,KG,2023-01-01,2026-07-21,1295,21235.168,16.39781312741313,12.618,167.616,1298,0.99768875192604,0,continuous
11663714,LEZITA PIL.IZG.FILETO AC YE 120 G,ADT,2023-01-03,2026-07-15,589,1515.0,2.572156196943973,2.0,15.0,1290,0.4565891472868217,6,intermittent
11722993,$TORKU SALAM DANA FISTIKLI 50 G,ADT,2023-01-08,2023-03-18,27,58.0,2.1481481481481484,1.0,8.0,70,0.38571428571428573,1221,possibly_inactive
11730107,BOLEZ P.TAB.KOK KANAT KG,KG,2024-11-24,2025-03-07,2,0.6940000000000001,0.34700000000000003,0.34700000000000003,0.558,104,0.019230769230769232,501,possibly_inactive
11738746,PINAR SOSIS HINDI UZUN 430 G,ADT,2023-01-01,2026-07-21,901,1920.0,2.130965593784684,2.0,10.0,1298,0.6941448382126348,0,continuous
11751004,BOLEZ P.POSET PILIC KG,KG,2023-01-03,2026-07-21,716,3079.629,4.30115782122905,3.6879999999999997,33.408,1296,0.5524691358024691,0,continuous
11762180,$PINARET H.BOYUN KG TAZE,KG,2023-01-01,2023-01-12,8,9.902,1.23775,1.1139999999999999,3.066,12,0.6666666666666666,1286,new_short_history
11762181,$PINARET H.GERDAN KG,KG,2023-04-13,2023-04-30,9,17.716,1.9684444444444447,1.662,4.066,18,0.5,1178,new_short_history
11771852,$PINARET H.FILETO KG,KG,2023-01-01,2023-05-02,26,32.688,1.2572307692307694,1.119,3.48,122,0.21311475409836064,1176,possibly_inactive
11771854,$PINARET H.KEMIKSIZ UST BUT KG,KG,2023-01-06,2023-04-30,20,24.914,1.2457,0.975,3.632,115,0.17391304347826086,1178,possibly_inactive
11771855,$PINARET HINDI YUREK KG,KG,2023-01-03,2023-04-26,18,27.08,1.5044444444444443,1.214,4.648,114,0.15789473684210525,1182,possibly_inactive
11771857,$PINARET H.BUT KUSBASI KG,KG,2023-01-01,2023-04-28,17,23.458,1.3798823529411763,0.666,5.24,118,0.1440677966101695,1180,possibly_inactive
11771858,$PINARET H.CIGER KG,KG,2023-04-20,2023-04-30,5,2.74,0.548,0.546,0.654,11,0.45454545454545453,1178,new_short_history
11771860,$PINARET H.BUTUN POSETLI KG,KG,2024-09-22,2025-05-11,2,0.836,0.418,0.418,0.626,232,0.008620689655172414,436,possibly_inactive
11771905,HINDI BUTUN KG (PARCA BARKOD),KG,2023-12-31,2025-12-31,9,740.327,82.25855555555556,23.102,197.965,732,0.012295081967213115,202,possibly_inactive
11779883,DANA SINIR KG,KG,2023-03-26,2023-03-26,1,0.092,0.092,0.092,0.092,1,1.0,1213,new_short_history
11797633,NAMET FUME PILIC 150 G PKT,ADT,2023-01-02,2026-07-18,320,541.0,1.690625,1.0,5.0,1294,0.2472952086553323,3,intermittent
11860883,CUMHURIYET SUCUK VAKUMLU FERMENTE 220 G,ADT,2023-09-09,2026-07-15,380,559.0,1.4710526315789474,1.0,7.0,1041,0.36503362151777136,6,intermittent
