date,temperature_mean_c,temperature_max_c,precipitation_mm,snowfall_cm,cloud_cover_pct,wind_max_kmh,solar_radiation_mj_m2
2019-08-16,25.1,27.6,0.6,0.0,39.0,15.5,17.44
2019-08-17,22.1,26.6,13.6,0.0,64.0,12.4,16.48
2019-08-18,21.3,25.0,2.6,0.0,41.0,14.4,18.76
2019-08-19,22.1,27.0,0.0,0.0,30.0,16.1,17.8
2019-08-20,23.0,28.0,0.0,0.0,12.0,17.1,21.27
2019-08-21,22.9,24.7,1.2,0.0,72.0,9.0,8.85
2019-08-22,25.7,30.1,0.0,0.0,38.0,14.1,20.15
2019-08-23,25.8,29.8,0.0,0.0,36.0,15.8,19.74
2019-08-24,26.8,32.8,0.0,0.0,13.0,16.9,23.81
2019-08-25,26.7,32.7,0.0,0.0,5.0,17.1,23.25
2019-08-26,27.4,33.4,0.0,0.0,12.0,19.7,22.97
2019-08-27,26.6,32.6,0.0,0.0,16.0,20.2,22.87
2019-08-28,25.5,31.4,0.0,0.0,7.0,19.0,23.3
2019-08-29,24.6,30.5,0.0,0.0,19.0,16.7,20.07
2019-08-30,23.7,29.3,0.0,0.0,20.0,18.4,21.67
2019-08-31,23.5,29.1,0.0,0.0,12.0,17.2,22.18
2019-09-01,23.5,30.2,0.0,0.0,17.0,15.3,20.51
2019-09-02,25.2,31.3,0.0,0.0,15.0,16.2,20.97
2019-09-03,24.9,31.0,0.0,0.0,14.0,17.5,20.7
2019-09-04,24.3,30.9,0.0,0.0,11.0,21.1,20.95
2019-09-05,24.0,30.8,0.0,0.0,3.0,20.0,22.54
2019-09-06,23.4,28.2,0.0,0.0,34.0,19.2,18.91
2019-09-07,22.2,29.0,0.0,0.0,3.0,16.9,21.95
2019-09-08,22.8,29.8,0.0,0.0,3.0,18.5,21.83
2019-09-09,22.5,29.0,0.0,0.0,6.0,15.2,21.7
2019-09-10,23.0,29.9,0.0,0.0,25.0,17.5,20.89
2019-09-11,24.2,30.6,0.0,0.0,34.0,17.0,18.72
2019-09-12,23.2,28.7,0.0,0.0,30.0,16.1,19.47
2019-09-13,22.6,27.5,0.0,0.0,54.0,22.6,18.19
2019-09-14,22.6,27.6,0.0,0.0,20.0,21.6,18.02
2019-09-15,21.9,26.4,0.0,0.0,24.0,21.4,13.63
2019-09-16,21.3,26.3,0.0,0.0,44.0,12.3,14.18
2019-09-17,22.1,28.7,0.0,0.0,28.0,9.3,20.73
2019-09-18,23.9,32.6,0.0,0.0,0.0,12.1,20.8
2019-09-19,23.7,29.5,0.0,0.0,1.0,15.4,19.98
2019-09-20,18.5,20.8,4.8,0.0,73.0,17.1,9.28
2019-09-21,17.4,21.1,0.0,0.0,44.0,19.6,14.69
2019-09-22,16.4,23.8,0.0,0.0,0.0,12.6,19.98
2019-09-23,17.8,24.6,0.0,0.0,22.0,8.4,19.0
2019-09-24,21.2,28.7,0.3,0.0,64.0,10.2,17.81
2019-09-25,21.0,24.8,0.1,0.0,43.0,10.8,14.59
2019-09-26,21.6,27.2,0.0,0.0,7.0,10.0,17.47
2019-09-27,21.0,24.4,0.3,0.0,37.0,9.5,10.4
2019-09-28,20.7,26.4,0.0,0.0,5.0,12.5,18.07
2019-09-29,20.7,27.2,0.0,0.0,2.0,9.1,18.15
2019-09-30,20.9,28.6,0.0,0.0,2.0,8.3,17.98
2019-10-01,21.9,29.3,0.0,0.0,0.0,13.0,17.49
2019-10-02,22.4,30.5,0.0,0.0,7.0,9.5,17.09
2019-10-03,23.7,32.2,0.0,0.0,9.0,13.0,16.22
2019-10-04,25.8,34.0,0.0,0.0,35.0,15.5,16.07
2019-10-05,19.9,24.6,4.9,0.0,71.0,14.3,8.79
2019-10-06,16.8,19.2,23.7,0.0,54.0,14.5,7.92
2019-10-07,16.0,22.6,3.1,0.0,52.0,13.3,15.12
2019-10-08,16.1,16.9,10.8,0.0,95.0,10.9,2.93
